BAIRRO,TIPO,OCORRENCIA
AFOGADOS,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
BARRO,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
ESPINHEIRO,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
POÇO DA PANELA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
SAN MARTIN,MOTOCICLETA,COLISÃO
APIPUCOS,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
BONGI,MOTOCICLETA,ATROPELAMENTO
ILHA DO RETIRO,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
SANCHO,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
CIDADE UNIVERSITÁRIA,MOTOCICLETA,COLISÃO
JIQUIÁ,MOTOCICLETA,COLISÃO
MACAXEIRA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
BEBERIBE,PEDESTRE,ATROPELAMENTO
SÍTIO DOS PINTOS,PEDESTRE,ATROPELAMENTO
SANTO AMARO,PEDESTRE,ATROPELAMENTO
BOA VIAGEM,PEDESTRE,ATROPELAMENTO
BOA VIAGEM,PEDESTRE,ATROPELAMENTO
CORDEIRO,PEDESTRE,ATROPELAMENTO
CURADO,PEDESTRE,ATROPELAMENTO
